"poddany	c	0	-1	-1	-4.6"
"przewraĹĽliwiony	m	1	1	-2	-3.6"
"cudzoziemiec	c	0	0	0	-2.6"
"przekonywaÄ‡	m	1	1	0	-1.8"
"skrupuĹ‚	c	1	1	1	-3.0"
"klatka	c	0	1	0	-3.5"
"piÄ™knoĹ›Ä‡	c	0	-1	0	-0.6"
"osiÄ…gnÄ…Ä‡	c	0	0	0	3.3"
"umiÄ™Ĺ›niony	m	1	-1	-1	-1.0"
"telewizor	c	0	-1	1	-0.5"
"ciÄ…gnÄ…Ä‡	c	1	1	0	-2.0"
"przeraziÄ‡	c	1	1	0	-2.0"
"ciemnobrÄ…zowy	m	0	0	0	-1.0"
"moĹĽny	c	1	-1	1	-2.0"
"ogoliÄ‡	c	1	-1	0	0.5"
"dochodowy	m	0	-1	0	-1.5"
"piosenka	c	1	1	0	4.9"
"rzÄ…d	c	0	0	-1	-2.2"
"towarzystwo	c	0	0	0	3.2"
"opcja	c	0	1	0	0.4"
"szklarnia	c	0	-1	1	-0.0"
"delikatny	m	1	1	-1	-1.9"
"oznaczaÄ‡	c	1	1	2	-2.5"
"nieobliczalny	c	0	0	1	1.5"
"omylny	c	1	1	-2	-1.0"
"przebiÄ‡	c	1	-1	2	-2.2"
"wiedza	c	0	1	0	2.6"
"niewystarczajÄ…cy	c	0	0	-1	-3.6"
"pracownik	c	0	1	-1	1.3"
"zwrot	c	0	0	0	-4.4"
"satysfakcja	c	1	1	0	2.9"
"zdziwiÄ‡	c	1	1	0	3.3"
"pĹ‚yn	c	0	0	0	-7.0"
"precyzyjnie	m	1	1	1	-1.5"
"ruchliwy	m	1	1	1	-6.0"
"sklepik	c	0	1	0	-2.0"
"stowarzyszyÄ‡	c	1	1	0	-1.0"
"miasto	c	0	0	0	7.1"
"korupcja	c	0	-1	0	-1.6"
"odtĹ‚uszczaÄ‡	c	1	-1	0	-1.0"
"pierĹ›	c	1	-1	-1	-2.5"
"nieciekawy	c	1	-1	-2	1.0"
"zadanie	c	0	1	1	-1.6"
"prawdopodobny	m	1	-1	0	-2.6"
"caĹ‚kowicie	m	0	1	0	3.6"
"nisko	m	0	0	0	-2.3"
"upolityczniÄ‡	c	0	1	0	-1.0"
"perfidnie	m	1	-1	-2	-1.0"
"niezapomniany	c	1	1	1	4.1"
"stromy	m	1	1	0	-2.6"
"polsat	c	1	1	0	-1.0"
"oczywisty	m	0	0	0	-6.1"
"wliczaÄ‡	c	0	0	0	-1.0"
"dobrany	m	0	1	0	-0.8"
"cudowny	m	1	1	0	4.7"
"wiosna	c	0	0	0	3.5"
"refren	c	0	0	0	-1.0"
"wyrzucaÄ‡	c	1	-1	0	-4.4"
"miejscowy	c	1	1	1	-1.9"
"cios	c	1	-1	-1	-11.4"
"pentagram	c	1	0	-1	-0.0"
"prezent	c	1	1	0	2.3"
"sĹ‚ony	m	1	-1	0	-6.0"
"miliard	c	0	1	0	-5.6"
"niesĹ‚ychanie	c	0	0	0	-4.2"
"urwany	m	0	0	0	-1.0"
"wygodny	m	1	1	1	6.3"
"wykrywalny	m	0	0	0	-1.0"
"chwilowy	c	1	1	0	-1.5"
"dmowski	c	1	1	0	-1.0"
"przyjazny	m	1	1	1	2.5"
"oparty	m	1	1	0	-1.0"
"wpadka	c	0	-1	-1	-5.5"
"tajemnica	c	1	1	1	0.5"
"poszukiwaÄ‡	c	0	1	1	3.6"
"zatrudniaÄ‡	c	0	1	1	-3.0"
"naukowy	c	1	1	2	4.5"
"forsa	c	1	-1	0	-2.8"
"radykalny	m	1	1	1	-5.7"
"ksiÄ™ga	c	0	0	0	2.5"
